"","x"
"583",1.33709498877875
"584",1.28541026149737
"585",-1.96116691236282
"586",1.18004763505217
"587",1.31827003129761
"588",-1.94233657285392
"589",-1.26667783602235
"590",-1.3983612312838
"591",0.785098459833806
"592",0.833329295577446
"593",1.30792720628281
"594",-0.831698618877702
"595",1.29858445542627
"596",0.867602692116515
"597",-1.53376436045277
"598",1.14621226010344
"599",0.659081520864557
"600",-0.922162657242098
"601",0.773256514415987
"602",-1.31283764052241
"603",-1.35391725761232
"604",2.19103621707083
"605",0.689537278922013
"606",-2.42376754808268
"607",-0.615965073269744
"608",2.35835643828826
"609",-0.998311422062654
"610",1.09932100048856
"611",1.78769220719837
"612",-0.740136886351049
"613",1.18760883283942
"614",0.832141718201273
"615",-1.84511783252646
"616",-1.45716822132906
"617",-2.63179169750135
"618",-1.11567284525511
"619",-0.619491357177994
"620",0.770974511533842
"621",1.00683977323307
"622",2.00309298754662
"623",1.85719366414989
"624",-2.13384757666961
"625",1.65235750125189
"626",-0.747661271584559
"627",-2.34338363687377
"628",-1.26044156374699
"629",0.915014172110738
"630",0.671884512186445
"631",-1.84418736376519
"632",-0.753962998176126
"633",0.671974094354028
"634",0.799683196908213
"635",2.19376268869428
"636",-1.06717676344761
"637",0.953899131293672
"638",-2.59517853337659
"639",1.12328408626006
"640",-2.06886521706792
"641",-1.41195101494504
"642",-1.05851181369289
"643",-1.78854029324726
"644",-0.949838007259669
"645",1.09161998415663
"646",-0.80244286633597
"647",1.05704397073935
"648",0.879162635614504
"649",2.06560776526189
"650",-1.70725384144666
"651",-1.13904306423805
"652",-2.45568331624002
"653",-3.06415811293518
"654",1.95177396673372
"655",-0.977384050578828
"656",1.29787326814909
"657",3.74650853825475
"658",0.82223990931969
"659",1.89472904593103
"660",-2.0261496598596
"661",2.24095259471304
"662",-1.18436897035141
"663",-1.05009139593155
"664",1.16943547754751
"665",0.921518579555227
"666",1.08492456372076
"667",1.3472603101525
"668",-0.904637623016282
"669",-2.53293182576625
"670",-0.731361957998403
"671",0.804773118468334
"672",-1.36104989606861
"673",1.37469397740325
"674",-2.84830200740624
"675",-1.32089429594937
"676",1.08267938009577
"677",-1.6195888213865
"678",-0.858911888084019
"679",0.664901210963548
"680",1.92516685217265
"681",-2.07894919175064
"682",-2.2074889188992
"683",-1.66475990133886
"684",1.06844733169963
"685",-0.703888751930575
"686",-0.577836315327884
"687",1.03003872939852
"688",1.06188033027425
"689",0.834485906637587
"690",-1.33297637709257
"691",-1.65456305570569
"692",0.709094645518218
"693",1.21804517887026
"694",-1.17871676288665
"695",-0.6696058640658
"696",1.19400616686576
"697",0.92054686930203
"698",1.1624988091318
"699",0.773993448362289
"700",-3.15458442694676
"701",-1.69565110129144
"702",-0.824643128128833
"703",-2.59570998813002
"704",0.968078950168924
"705",-2.27263383299577
"706",1.16976334859625
"707",-1.1578778811364
"708",-1.48884965437055
"709",1.49783282147061
"710",1.00582412752013
"711",-1.64437920057447
"712",-1.96851033315179
"713",-1.2348447435801
"714",1.38007120268458
"715",0.78116232184646
"716",0.980174180346308
"717",-3.1264182792491
"718",-0.752403603658067
"719",-1.04636905183129
"720",-1.9715292943689
"721",-0.785916985166534
"722",-0.980075578946316
"723",-0.707639692895941
"724",-2.77381140893169
"725",-0.586160155455859
"726",-0.66522019447666
"727",-0.83798169526466
"728",-1.16240666406672
"729",-0.636055583943279
"730",-1.70867481017752
"731",0.875259560979502
"732",0.856228056651027
"733",0.716831089708561
"734",-0.762303292863742
"735",0.764862835735583
"736",0.705821977353248
"737",-2.9409373349927
"738",1.19943834849919
"739",-0.980259587393955
"740",-1.4104563582641
"741",-1.25757671317031
"742",1.13099717201871
"743",-1.11533715892972
"744",3.0656127398032
"745",-0.596808738090177
"746",0.707582437250241
"747",-0.936220775785678
"748",-2.74549200170672
"749",-0.628369776278391
"750",0.803414885755507
"751",-0.738620817397284
"752",1.04378608274237
"753",-1.03695827022378
"754",-1.62056820327376
"755",-0.859343530838926
"756",-0.815145829658692
"757",-1.09579574350098
"758",-1.09800526754331
"759",0.717392995314026
"760",-2.72307983574213
"761",-0.934617104132583
"762",-0.610469312729891
"763",-1.80843478385232
"764",-1.44585522621943
"765",-1.33968096929332
"766",-0.992989160342147
"767",-1.22181830965092
"768",-1.43653360063839
"769",-0.833509025224635
"770",-3.43633089720691
"771",-1.28300113449635
"772",2.49061780436746
"773",0.612237855708849
"774",0.977774062999561
"775",0.840474739347056
"776",-0.605954683640113
"777",0.899119659594402
"778",-1.12615302954903
"779",-0.751257740060372
"780",-2.0224443838985
"781",1.26283055951828
"782",0.706577701226233
"783",-1.291670755139
"784",-1.46501653289215
"785",-0.833522731472087
"786",-1.11973693276791
"787",-1.15210026747557
"788",0.652918204670769
"789",0.618398202676948
"790",-1.82423891464821
"791",-2.81304890576271
"792",-1.62763634553958
"793",-0.685938808635167
"794",1.0587372095496
"795",0.877810539092234
"796",-0.709418494871038
"797",0.99421884941959
"798",-1.17701885372908
"799",2.67194143332886
"800",0.818420258567474
"801",0.538580542791808
"802",-1.23400093360053
"803",-0.619275229620036
"804",0.749733148019197
"805",-1.37997595537198
